sexo	idade	altura	peso	pe	instituicao	dialeto	assistir	animal	sono	atividade	atividadehora
Feminino	32	157	56	35	UFRN	Bolacha	serie	Cachorro	8	sim	5
Masculino	37	170	71	39	UFRN	Bolacha	serie	Cachorro	7	sim	7
Feminino	20	157	80	38	UFRN	Biscoito	filme	Gato	7	nao	0
Feminino	34	164	64	37	UFRN	Biscoito	filme	Gato	7	nao	0
Feminino	30	168	80	38	UFRN	Biscoito	filme	Cachorro	6	sim	6
Feminino	20	164	53	38	UFRN	Biscoito	filme	Gato	8	nao	0
Feminino	26	164	65	36	Unicamp	Bolacha	serie	Cachorro	8	nao	0
Feminino	22	157	60	38	Unicamp	Bolacha	filme	Cachorro	8	nao	0
Masculino	22	175	69	39	Unicamp	Bolacha	serie	Cachorro	8	sim	2
Feminino	27	147	48	34	UFRN	Biscoito	serie	Cachorro	6	sim	2
Feminino	20	164	67	36	UFRN	Biscoito	filme	Gato	5	nao	0
Feminino	31	156	89	37	Unicamp	Biscoito	filme	Gato	6	nao	0
Feminino	38	157	80	35	UFRN	Bolacha	filme	Gato	7	sim	5
Feminino	36	157	70	36	UFRN	Biscoito	filme	Gato	8	sim	5
Feminino	36	160	62	34	Unicamp	Bolacha	filme	Gato	7	nao	0
Feminino	19	175	77	40	Unicamp	Bolacha	filme	Cachorro	7	nao	0
Feminino	19	156	90	38	Unicamp	Bolacha	filme	Cachorro	4	nao	0
Masculino	33	177	75	42	UFRN	Biscoito	serie	Gato	5	sim	2
Masculino	31	174	99	41	UFRN	Biscoito	filme	Cachorro	7	nao	0
Feminino	29	168	53	35	Unicamp	Bolacha	serie	Cachorro	9	sim	6
Feminino	19	169	83	37	UFRN	Bolacha	serie	Cachorro	6	nao	0
Feminino	40	155	54	36	Unicamp	Bolacha	serie	Gato	7	nao	0
Feminino	30	167	85	38	UFRN	Biscoito	filme	Cachorro	6	sim	3
Feminino	21	165	60	36	Unicamp	Bolacha	serie	Gato	9	sim	2
Masculino	29	182	84	44	UFRN	Biscoito	serie	Cachorro	7	sim	3
Feminino	24	160	54	37	UFRN	Biscoito	serie	Cachorro	4	sim	1
Feminino	26	167	57	38	Unicamp	Bolacha	serie	Cachorro	7	sim	3
Feminino	27	158	48	35	Unicamp	Bolacha	serie	Cachorro	7	nao	0
Feminino	22	164	75	39	UFRN	Biscoito	serie	Cachorro	8	nao	0
Feminino	19	163	55	38	Unicamp	Bolacha	filme	Gato	5	sim	3
Masculino	29	178	76	40	UFRN	Biscoito	filme	Cachorro	8	nao	0
Feminino	21	158	51	34	UFRN	Biscoito	serie	Gato	6	sim	4
Masculino	24	160	53	39	UFRN	Biscoito	filme	Gato	7	sim	3
Masculino	27	170	75	40	Unicamp	Bolacha	filme	Cachorro	8	nao	0
Masculino	26	173	66	40	UFRN	Biscoito	serie	Gato	7	sim	5
Feminino	19	172	53	36	Unicamp	Bolacha	filme	Gato	6	sim	5
Masculino	21	178	80	41	UFRN	Biscoito	serie	Cachorro	6	nao	0
Masculino	32	177	108	43	UFRN	Biscoito	filme	Cachorro	6	nao	0
Masculino	25	172	107	42	Unicamp	Bolacha	filme	Cachorro	6	nao	0
Feminino	19	170	67	37	UFRN	Biscoito	serie	Cachorro	6	nao	0
Masculino	26	175	67	40	UFRN	Biscoito	serie	Gato	7	nao	0
Feminino	24	169	52	36	UFRN	Biscoito	serie	Gato	4	sim	6
Feminino	48	162	55	35	UFRN	Biscoito	filme	Cachorro	7	sim	3
Feminino	31	158	50	35	UFRN	Biscoito	serie	Gato	6	nao	0
Feminino	23	160	45	37	UFRN	Biscoito	filme	Gato	7	nao	0
Feminino	22	163	70	37	UFRN	Biscoito	serie	Cachorro	6	sim	3
