participante	idade	sexo	contexto	concordancia
IFB	27	Feminino	aula	concorda
GFA	23	Feminino	aula	concorda
ER	30	Masculino	aula	concorda
IFB	27	Feminino	aula	concorda
GFA	23	Feminino	aula	concorda
ER	30	Masculino	aula	concorda
IFB	27	Feminino	espont‰nea	concorda
GFA	23	Feminino	espont‰nea	nconcorda
ER	30	Masculino	espont‰nea	concorda
IFB	27	Feminino	aula	concorda
GFA	23	Feminino	aula	concorda
ER	30	Masculino	aula	concorda
IFB	27	Feminino	espont‰nea	nconcorda
GFA	23	Feminino	espont‰nea	nconcorda
IFB	27	Feminino	espont‰nea	concorda
GFA	23	Feminino	espont‰nea	nconcorda
IFB	27	Feminino	espont‰nea	nconcorda
GFA	23	Feminino	espont‰nea	concorda
ER	30	Masculino	espont‰nea	nconcorda
IFB	27	Feminino	aula	concorda
GFA	23	Feminino	aula	concorda
ER	30	Masculino	aula	concorda
IFB	27	Feminino	aula	concorda
GFA	23	Feminino	aula	concorda
ER	30	Masculino	aula	concorda
JJAB	24	Feminino	espont‰nea	nconcorda
JJAB	24	Feminino	aula	concorda
DSS	28	Feminino	aula	concorda
JJAB	24	Feminino	espont‰nea	concorda
DSS	28	Feminino	espont‰nea	nconcorda
JJAB	24	Feminino	espont‰nea	nconcorda
DSS	28	Feminino	espont‰nea	nconcorda
JJAB	24	Feminino	aula	concorda
DSS	28	Feminino	aula	concorda
JJAB	24	Feminino	aula	concorda
DSS	28	Feminino	aula	concorda
JJAB	24	Feminino	espont‰nea	nconcorda
JJAB	24	Feminino	aula	concorda
DSS	28	Feminino	aula	concorda
JJAB	24	Feminino	aula	concorda
DSS	28	Feminino	aula	concorda
DFS	21	Feminino	espont‰nea	concorda
DFS	21	Feminino	aula	concorda
GASA	21	Masculino	aula	concorda
DFS	21	Feminino	aula	concorda
GASA	21	Masculino	aula	concorda
DFS	21	Feminino	espont‰nea	nconcorda
GASA	21	Masculino	espont‰nea	nconcorda
DFS	21	Feminino	aula	concorda
GASA	21	Masculino	aula	concorda
DFS	21	Feminino	espont‰nea	nconcorda
GASA	21	Masculino	espont‰nea	nconcorda
GASA	21	Masculino	espont‰nea	nconcorda
DFS	21	Feminino	aula	concorda
GASA	21	Masculino	aula	concorda
DFS	21	Feminino	espont‰nea	nconcorda
bhxm	19	Masculino	espont‰nea	nconcorda
FLFS	25	Masculino	espont‰nea	nconcorda
ECOV	27	Feminino	espont‰nea	nconcorda
AKOV	21	Feminino	espont‰nea	nconcorda
bhxm	19	Masculino	aula	concorda
FLFS	25	Masculino	aula	concorda
ECOV	27	Feminino	aula	concorda
AKOV	21	Feminino	aula	concorda
bhxm	19	Masculino	aula	concorda
ECOV	27	Feminino	aula	concorda
AKOV	21	Feminino	aula	concorda
bhxm	19	Masculino	espont‰nea	nconcorda
FLFS	25	Masculino	espont‰nea	concorda
ECOV	27	Feminino	espont‰nea	nconcorda
AKOV	21	Feminino	espont‰nea	concorda
bhxm	19	Masculino	espont‰nea	nconcorda
FLFS	25	Masculino	espont‰nea	nconcorda
ECOV	27	Feminino	espont‰nea	nconcorda
bhxm	19	Masculino	aula	concorda
FLFS	25	Masculino	aula	concorda
ECOV	27	Feminino	aula	concorda
AKOV	21	Feminino	aula	concorda
bhxm	19	Masculino	espont‰nea	concorda
FLFS	25	Masculino	espont‰nea	nconcorda
ECOV	27	Feminino	espont‰nea	nconcorda
AKOV	21	Feminino	espont‰nea	nconcorda
bhxm	19	Masculino	aula	concorda
FLFS	25	Masculino	aula	concorda
ECOV	27	Feminino	aula	concorda
AKOV	21	Feminino	aula	concorda
FLFS	25	Masculino	aula	concorda
AKOV	21	Feminino	aula	concorda
A	22	Feminino	aula	concorda
HF	28	Masculino	aula	concorda
A	22	Feminino	aula	concorda
HF	28	Masculino	aula	concorda
JGMS	21	Feminino	aula	concorda
A	22	Feminino	espont‰nea	nconcorda
HF	28	Masculino	espont‰nea	nconcorda
JGMS	21	Feminino	espont‰nea	nconcorda
A	22	Feminino	espont‰nea	nconcorda
HF	28	Masculino	espont‰nea	nconcorda
JGMS	21	Feminino	espont‰nea	nconcorda
A	22	Feminino	aula	concorda
HF	28	Masculino	aula	concorda
JGMS	21	Feminino	aula	concorda
A	22	Feminino	aula	concorda
HF	28	Masculino	aula	concorda
JGMS	21	Feminino	aula	concorda
A	22	Feminino	espont‰nea	nconcorda
JGMS	21	Feminino	espont‰nea	concorda
A	22	Feminino	espont‰nea	concorda
HF	28	Masculino	espont‰nea	nconcorda
JGMS	21	Feminino	espont‰nea	nconcorda
A	22	Feminino	aula	concorda
JGMS	21	Feminino	aula	concorda
J	24	Feminino	aula	concorda
J	24	Feminino	espont‰nea	concorda
J	24	Feminino	aula	concorda
J	24	Feminino	espont‰nea	concorda
J	24	Feminino	espont‰nea	concorda
J	24	Feminino	espont‰nea	nconcorda
